alpha,beta_temp,beta_omega,beta_clean,sigma
0.9503210799491774,0.0564202551469307,-1.5440212381811023,0.08985725156177334,0.6261049511033066
0.7626770237002061,0.05673127376673247,-1.3962887547096727,0.10446044622819133,0.6338615287175314
0.7848933134588383,0.05672256563154607,-1.3480889048980202,0.0990617056088618,0.6255685205066689
0.864796585447265,0.05682954125353084,-1.5311458114981065,0.08823377670252378,0.6347596836123371
0.7593199179064781,0.05673171966702275,-1.318570600123067,0.11043520788559705,0.6159675235812866
0.7879580078354363,0.05649011519835634,-1.3705109291719246,0.11695741329175657,0.5977827164739055
0.8761444606579181,0.056476941310674496,-1.4853819202550156,0.09694745923001796,0.6006458088388704
0.9799454323478812,0.057547433403984834,-1.6834195076071303,0.09891606407704469,0.6413659835183219
0.9247260915349272,0.05728666447306418,-1.695750144285455,0.10053029882621745,0.636509572168399
0.7553410333703103,0.05611894622412714,-1.218328787490254,0.10208228807870592,0.6329510620579362
0.7601384121326937,0.056379023556961255,-1.3563135438839211,0.08610359868527818,0.6520072232047719
0.6966405946986106,0.056888975647626405,-1.2657361610613975,0.10990512595854046,0.6305101087278653
0.919693923137171,0.056356188857566755,-1.4969393262121962,0.10539052466222038,0.6142653069545431
0.887655321628687,0.05634657323786718,-1.4773213587789407,0.11455659013937515,0.6171475093434099
0.8593666660355372,0.05690351635429571,-1.497142849712553,0.10930314682048778,0.6173669935195039
0.9573580630137509,0.05655918780766173,-1.6054672757194375,0.08798506188042575,0.6386955934200148
1.014976918807697,0.056254960438651976,-1.625683511927999,0.10315095401609786,0.6456894143603854
0.97243697568345,0.05607856625852865,-1.5455245095030428,0.08334129959575505,0.6263437719710041
0.724987273600972,0.0572715801165629,-1.3211656486425198,0.12562518264782604,0.6408075774933926
0.7407291288718285,0.056846056332101776,-1.2895487421076552,0.12308234687110398,0.6493637062295036
0.8093596094832664,0.056866492597944726,-1.443215195949584,0.08853221974533783,0.5904005881570159
0.7754444226284591,0.05699176763215865,-1.441483482686447,0.100872108458481,0.605860265229128
0.8342141509873378,0.055664891674312246,-1.3499153367402918,0.08534116197083623,0.625694009817778
0.9233124493603777,0.05505653846115887,-1.3558741532980463,0.09622684442040325,0.6242848665401038
0.8650312038642647,0.05632726677499338,-1.4759738737916415,0.06355611034730847,0.6420450395066732
0.8782885555578287,0.05633487292717168,-1.4590056325430147,0.07252363563916761,0.6378716732360598
0.868914121932995,0.056387441033513765,-1.4971440631523194,0.08109765090271077,0.6179437348631394
0.8423142828101305,0.056811021120385566,-1.5050643076859842,0.096782080167405,0.6393483242385202
0.8154829694976484,0.056491852014161355,-1.3618433060022639,0.11414326163191275,0.6566706486347822
0.9329603439717132,0.05646052654381646,-1.5063981079600843,0.1140062911850629,0.6442644243833268
0.8775406847895806,0.056185894565070275,-1.495662364103481,0.07334953645737549,0.6390966526546038
0.7396108116475217,0.057507742300856896,-1.4117908576739673,0.11012293645500681,0.617311542218029
0.8495778161115218,0.05644097297114106,-1.3962733095367454,0.11898780440567724,0.6352507503500765
0.7459416482290878,0.05610887212038683,-1.2926149050947657,0.08640567515478781,0.6319008143307031
0.8300096382335055,0.05647553790652665,-1.3008528959223788,0.12282613065854851,0.650170373484206
0.9223526600932639,0.0566944539307914,-1.612768365791922,0.07960058814599671,0.6144240730463246
0.8696039753112113,0.05571000781098109,-1.3252097971667318,0.1036843653840262,0.6483191090631869
0.8891903609398384,0.056299168064545504,-1.4467575435923692,0.0810473091658342,0.6226362853601564
0.7466227426670454,0.057012251315682494,-1.3828288321744253,0.12412470387815734,0.6527166271832002
0.7153499490087383,0.05682698496110983,-1.3338900061033243,0.09477254232394222,0.6035722974542446
0.7479226726695679,0.056711253126878414,-1.3154040838084171,0.09452117292016834,0.5944352731753807
0.7594712291151773,0.05667746695412344,-1.3241195853471552,0.10417899284656139,0.6055088521322548
0.8887755208460117,0.05670284040325008,-1.532905683384108,0.11926612902417143,0.610051350438125
0.8304414879537698,0.05661737202979807,-1.4107436770863622,0.09978614377178568,0.6137715983002852
0.8155147535731271,0.05702378242090573,-1.4499796610190394,0.1071424031450404,0.6280750261060889
0.8719304315377863,0.05649082508060405,-1.4506184166928087,0.10592679884817717,0.6625656506086495
0.8933987905189258,0.05644673892855471,-1.4836167683915562,0.1034220833014672,0.681577231083141
0.7926299898355809,0.056949197219857174,-1.4536684776592494,0.08123024595529588,0.618241666338826
0.8382091285607963,0.056423388788838735,-1.4161143048492555,0.09189550616192838,0.6294545242976908
0.72715788535692,0.057163124723185396,-1.396987995693479,0.08789029400780676,0.6261660119673412
0.886111224669324,0.05706666971160775,-1.5670986608912933,0.0805965121217032,0.6403809738801635
